response,QualtricsID,overall_pleasantness,trial_id,invalid_trial
R_6UW0Lrs0Xg0m5PN,Q177_1,18.0,2_14_O,
R_1DP2enDFn5QykNB,Q177_1,-14.0,2_14_O,
R_3tFLQZzQgMqNqW5,Q177_1,22.0,2_14_O,
R_3uGD1JnZB7R76et,Q177_1,59.0,2_14_O,
R_5SJNGWdGzdz1Fdp,Q177_1,32.0,2_14_O,
R_1lLczv84whbk80U,Q177_1,17.0,2_14_O,
R_1Id5qj62HUwiyBm,Q177_1,64.0,2_14_O,
R_1dsJS0UUWqDvId3,Q177_1,51.0,2_14_O,
R_5hQ2E2VT84LrZSf,Q177_1,18.0,2_14_O,
R_39bn3d5gFOxzYMr,Q177_1,-20.0,2_14_O,
R_5QFSUrEAbuWXQZ3,Q177_1,51.0,2_14_O,
R_342jRMCUa8BrKAF,Q177_1,60.0,2_14_O,
R_3EgstgVxibvqfeh,Q177_1,22.0,2_14_O,
R_6gz8jeGkaIWjWUh,Q177_1,-55.0,2_14_O,
R_6efcBElj6FCvBmV,Q189_1,20.0,2_70_S,
R_75rcpr2IJ8FQlt7,Q189_1,24.0,2_70_S,
R_6ONTIhMg73HcsJO,Q189_1,48.0,2_70_S,
R_7PLFHJcP1sCHknL,Q189_1,55.0,2_70_S,
R_5QgKsFptfykYF2a,Q189_1,51.0,2_70_S,
R_3rBtmvEFGlA2euY,Q189_1,64.0,2_70_S,
R_7YYzxAhoTh0JzDz,Q189_1,63.0,2_70_S,
R_5el6gvrcCYCt9gm,Q189_1,76.0,2_70_S,
R_1cS00YwPv0qYkwf,Q189_1,46.0,2_70_S,
R_6CPHrtuj7SP8UUC,Q189_1,71.0,2_70_S,
R_5BQMO4HCVitDKDr,Q189_1,100.0,2_70_S,
R_7D5CyBlRpKaBWlr,Q189_1,69.0,2_70_S,
R_3FSbLaIbYu79r78,Q189_1,30.0,2_70_S,
R_3TiyiRowq9eTX8J,Q189_1,-10.0,2_70_S,
R_5e50bw1UZocht0y,Q189_1,80.0,2_70_S,
R_3G3Y6hfZSzdgBIk,Q189_1,65.0,2_70_S,
R_5HSUjAwXWAqyfxD,Q189_1,43.0,2_70_S,
R_53uQeWN39gLkXLP,Q189_1,-73.0,2_70_S,
R_3mqn53rHOjfcngB,Q189_1,15.0,2_70_S,
R_1FQflkMldupaWLW,Q189_1,73.0,2_70_S,
R_6ZNxkJ8czyVt7E1,Q189_1,-6.0,2_70_S,
R_322x31PwAj0M5GN,Q189_1,60.0,2_70_S,
R_7wp3WmD3UFSKp9M,Q189_1,33.0,2_70_S,
R_62Rs0EUUEsYnwXI,Q189_1,-88.0,2_70_S,
R_1TxCWzBLCRYWFYl,Q189_1,94.0,2_70_S,
R_7TuVgZfkHx9dFMD,Q189_1,70.0,2_70_S,
R_3np9puN9JlT7IH3,Q189_1,31.0,2_70_S,
R_36lHnpb15HnFYdh,Q189_1,21.0,2_70_S,
R_3nj2UiAJ34Y31tv,Q189_1,9.0,2_70_S,
R_7ajSdUpZgksrXjz,Q189_1,31.0,2_70_S,
R_1cnhbMhuECa9fX5,Q189_1,-1.0,2_70_S,
R_7Lu4QIq3X8HK6A4,Q189_1,53.0,2_70_S,
R_7UgTFkj1C6rNo5k,Q189_1,40.0,2_70_S,
R_1urpkmCQGSL8bZA,Q189_1,58.0,2_70_S,
R_7qW0qJgzLWxGmIp,Q189_1,9.0,2_70_S,
R_54vZUwQFpC5yYnU,Q189_1,1.0,2_70_S,
R_5SB0CzqiyIP9IKk,Q189_1,77.0,2_70_S,
R_6pU0piaLpro8dYR,Q189_1,35.0,2_70_S,
R_3dcu8kRTkXoyoip,Q189_1,63.0,2_70_S,
R_11hm6t4X5BgCJer,Q189_1,39.0,2_70_S,
R_1466hO0Z03hgUhq,Q189_1,24.0,2_70_S,
R_3SlsEB84RFtsYaB,Q189_1,44.0,2_70_S,
R_7TYziOVIPnw7Tt7,Q189_1,-11.0,2_70_S,
R_3QgBlGFmAXQOOYo,Q189_1,29.0,2_70_S,
R_5exvTvnYGQxYHmk,Q189_1,82.0,2_70_S,
R_6qiVb9WslcV95D3,Q189_1,40.0,2_70_S,
R_3CkdS2pAdeypu10,Q189_1,0.0,2_70_S,
R_7rHfkVNs7QHbLag,Q189_1,68.0,2_70_S,
R_1CCTScrn2uMkLvQ,Q189_1,25.0,2_70_S,
R_3lzeKfKWfV13bsI,Q189_1,30.0,2_70_S,
R_7q3oA2eiv1mVVXV,Q189_1,40.0,2_70_S,
R_3VvBfjYi2GDlIIN,Q189_1,33.0,2_70_S,
R_6QopCGKzit4HLkS,Q189_1,0.0,2_70_S,
R_3ZUuSnuIJLb5zgZ,Q189_1,13.0,2_70_S,
R_72zc1kJ2g5kjTOH,Q189_1,59.0,2_70_S,
R_73llbEZEiEOM6dM,Q189_1,38.0,2_70_S,
R_5xIPzVntMqAeUQ9,Q189_1,85.0,2_70_S,
R_5GePeLf7FEDRdre,Q189_1,96.0,2_70_S,
R_6lIRnXl5iQUgYpj,Q189_1,7.0,2_70_S,
R_3jpqjgXjaRUGHCx,Q189_1,54.0,2_70_S,
R_5ib6q2Swb0efZFF,Q189_1,36.0,2_70_S,
R_1NERt9E2i9XZDVC,Q189_1,65.0,2_70_S,
R_3CNngBqSh8JZci4,Q189_1,42.0,2_70_S,
R_1rrqhIVOa2CidYB,Q189_1,2.0,2_70_S,
R_17sqFUGKskSfCfu,Q189_1,31.0,2_70_S,
R_1JOYHQs6EmxyUbv,Q189_1,-31.0,2_70_S,
R_5COrRguDcQhsanw,Q189_1,88.0,2_70_S,
R_5nyjrWnBQAAly1P,Q189_1,49.0,2_70_S,
R_3N2GrWz9K9xZojW,Q189_1,12.0,2_70_S,
R_5dW9uuSSmK2iAff,Q189_1,15.0,2_70_S,
R_3uFR5h8zXLFLHLb,Q189_1,-52.0,2_70_S,
R_1cTk4JpFTveIkoz,Q189_1,-14.0,2_70_S,
R_6UW0Lrs0Xg0m5PN,Q189_1,55.0,2_70_S,
R_3uGD1JnZB7R76et,Q189_1,95.0,2_70_S,
R_5EuWWZqyvedjNXe,Q189_1,60.0,2_70_S,
R_1lLczv84whbk80U,Q189_1,5.0,2_70_S,
R_7GVaCAP5l7A7DJD,Q189_1,97.0,2_70_S,
R_1Id5qj62HUwiyBm,Q189_1,43.0,2_70_S,
R_1dsJS0UUWqDvId3,Q189_1,17.0,2_70_S,
R_5hQ2E2VT84LrZSf,Q189_1,-30.0,2_70_S,
R_39bn3d5gFOxzYMr,Q189_1,-41.0,2_70_S,
R_3qoYnwai4eDTGkp,Q189_1,36.0,2_70_S,
R_5QFSUrEAbuWXQZ3,Q189_1,31.0,2_70_S,
R_342jRMCUa8BrKAF,Q189_1,43.0,2_70_S,
R_3EgstgVxibvqfeh,Q189_1,49.0,2_70_S,
R_6gz8jeGkaIWjWUh,Q189_1,-83.0,2_70_S,
R_17JTC7vawhX7PCV,Q189_1,74.0,2_70_S,
R_6efcBElj6FCvBmV,Q193_1,-6.0,2_20_O,
R_75rcpr2IJ8FQlt7,Q193_1,-5.0,2_20_O,
R_6ONTIhMg73HcsJO,Q193_1,-6.0,2_20_O,
R_7PLFHJcP1sCHknL,Q193_1,-27.0,2_20_O,
R_5QgKsFptfykYF2a,Q193_1,28.0,2_20_O,
R_3rBtmvEFGlA2euY,Q193_1,-6.0,2_20_O,
R_7YYzxAhoTh0JzDz,Q193_1,34.0,2_20_O,
R_5el6gvrcCYCt9gm,Q193_1,57.0,2_20_O,
R_1cS00YwPv0qYkwf,Q193_1,43.0,2_20_O,
R_6CPHrtuj7SP8UUC,Q193_1,-100.0,2_20_O,
R_5BQMO4HCVitDKDr,Q193_1,56.0,2_20_O,
R_7D5CyBlRpKaBWlr,Q193_1,63.0,2_20_O,
R_3FSbLaIbYu79r78,Q193_1,0.0,2_20_O,
R_3TiyiRowq9eTX8J,Q193_1,0.0,2_20_O,
R_5e50bw1UZocht0y,Q193_1,-100.0,2_20_O,
R_3G3Y6hfZSzdgBIk,Q193_1,-61.0,2_20_O,
R_5HSUjAwXWAqyfxD,Q193_1,-23.0,2_20_O,
R_53uQeWN39gLkXLP,Q193_1,20.0,2_20_O,
R_3mqn53rHOjfcngB,Q193_1,35.0,2_20_O,
R_1FQflkMldupaWLW,Q193_1,55.0,2_20_O,
R_6ZNxkJ8czyVt7E1,Q193_1,10.0,2_20_O,
R_7wp3WmD3UFSKp9M,Q193_1,7.0,2_20_O,
R_62Rs0EUUEsYnwXI,Q193_1,-32.0,2_20_O,
R_1TxCWzBLCRYWFYl,Q193_1,12.0,2_20_O,
R_7CeVJiseeSsgCh6,Q193_1,19.0,2_20_O,
R_7rwXPXtG1YFPvVJ,Q193_1,-24.0,2_20_O,
R_7TuVgZfkHx9dFMD,Q193_1,-67.0,2_20_O,
R_3np9puN9JlT7IH3,Q193_1,-14.0,2_20_O,
R_36lHnpb15HnFYdh,Q193_1,9.0,2_20_O,
R_3nj2UiAJ34Y31tv,Q193_1,-28.0,2_20_O,
R_1cnhbMhuECa9fX5,Q193_1,9.0,2_20_O,
R_7Lu4QIq3X8HK6A4,Q193_1,56.0,2_20_O,
R_57mv6qMHJatnktk,Q193_1,32.0,2_20_O,
R_7UgTFkj1C6rNo5k,Q193_1,12.0,2_20_O,
R_54vZUwQFpC5yYnU,Q193_1,24.0,2_20_O,
R_5sShiW4FtJ2iJft,Q193_1,-22.0,2_20_O,
R_5SB0CzqiyIP9IKk,Q193_1,23.0,2_20_O,
R_6pU0piaLpro8dYR,Q193_1,-15.0,2_20_O,
R_11hm6t4X5BgCJer,Q193_1,-25.0,2_20_O,
R_1466hO0Z03hgUhq,Q193_1,-44.0,2_20_O,
R_3SlsEB84RFtsYaB,Q193_1,-5.0,2_20_O,
R_7TYziOVIPnw7Tt7,Q193_1,17.0,2_20_O,
R_3QgBlGFmAXQOOYo,Q193_1,0.0,2_20_O,
R_5exvTvnYGQxYHmk,Q193_1,47.0,2_20_O,
R_6qiVb9WslcV95D3,Q193_1,79.0,2_20_O,
R_3CkdS2pAdeypu10,Q193_1,-75.0,2_20_O,
R_7rHfkVNs7QHbLag,Q193_1,-21.0,2_20_O,
R_1CCTScrn2uMkLvQ,Q193_1,23.0,2_20_O,
R_3lzeKfKWfV13bsI,Q193_1,-7.0,2_20_O,
R_7q3oA2eiv1mVVXV,Q193_1,-45.0,2_20_O,
R_3VvBfjYi2GDlIIN,Q193_1,8.0,2_20_O,
R_6QopCGKzit4HLkS,Q193_1,0.0,2_20_O,
R_3ZUuSnuIJLb5zgZ,Q193_1,23.0,2_20_O,
R_72zc1kJ2g5kjTOH,Q193_1,-10.0,2_20_O,
R_73llbEZEiEOM6dM,Q193_1,7.0,2_20_O,
R_5xIPzVntMqAeUQ9,Q193_1,1.0,2_20_O,
R_5GePeLf7FEDRdre,Q193_1,-14.0,2_20_O,
R_6lIRnXl5iQUgYpj,Q193_1,18.0,2_20_O,
R_3jpqjgXjaRUGHCx,Q193_1,-13.0,2_20_O,
R_5By4YMKhNg17YVn,Q193_1,-75.0,2_20_O,
R_5RjPUCAz9Tjz4Co,Q193_1,50.0,2_20_O,
R_1NERt9E2i9XZDVC,Q193_1,20.0,2_20_O,
R_1rrqhIVOa2CidYB,Q193_1,-4.0,2_20_O,
R_17sqFUGKskSfCfu,Q193_1,38.0,2_20_O,
R_1JOYHQs6EmxyUbv,Q193_1,-78.0,2_20_O,
R_5COrRguDcQhsanw,Q193_1,64.0,2_20_O,
R_5nyjrWnBQAAly1P,Q193_1,-8.0,2_20_O,
R_5dW9uuSSmK2iAff,Q193_1,-79.0,2_20_O,
R_3uFR5h8zXLFLHLb,Q193_1,-47.0,2_20_O,
R_1cTk4JpFTveIkoz,Q193_1,-34.0,2_20_O,
R_6UW0Lrs0Xg0m5PN,Q193_1,0.0,2_20_O,
R_1DP2enDFn5QykNB,Q193_1,-38.0,2_20_O,
R_3tFLQZzQgMqNqW5,Q193_1,-17.0,2_20_O,
R_3uGD1JnZB7R76et,Q193_1,-1.0,2_20_O,
R_5EuWWZqyvedjNXe,Q193_1,24.0,2_20_O,
R_7reWf8VM9JvZi6J,Q193_1,-21.0,2_20_O,
R_1lLczv84whbk80U,Q193_1,86.0,2_20_O,
R_7GVaCAP5l7A7DJD,Q193_1,-27.0,2_20_O,
R_1Id5qj62HUwiyBm,Q193_1,-7.0,2_20_O,
R_1dsJS0UUWqDvId3,Q193_1,-10.0,2_20_O,
R_5hQ2E2VT84LrZSf,Q193_1,-4.0,2_20_O,
R_39bn3d5gFOxzYMr,Q193_1,27.0,2_20_O,
R_5QFSUrEAbuWXQZ3,Q193_1,6.0,2_20_O,
R_342jRMCUa8BrKAF,Q193_1,57.0,2_20_O,
R_3EgstgVxibvqfeh,Q193_1,14.0,2_20_O,
R_6gz8jeGkaIWjWUh,Q193_1,-53.0,2_20_O,
R_6efcBElj6FCvBmV,Q205_1,-14.0,2_40_S,
R_75rcpr2IJ8FQlt7,Q205_1,12.0,2_40_S,
R_6ONTIhMg73HcsJO,Q205_1,33.0,2_40_S,
R_7PLFHJcP1sCHknL,Q205_1,57.0,2_40_S,
R_5QgKsFptfykYF2a,Q205_1,25.0,2_40_S,
R_3rBtmvEFGlA2euY,Q205_1,15.0,2_40_S,
R_7YYzxAhoTh0JzDz,Q205_1,12.0,2_40_S,
R_5el6gvrcCYCt9gm,Q205_1,66.0,2_40_S,
R_6CPHrtuj7SP8UUC,Q205_1,5.0,2_40_S,
R_5BQMO4HCVitDKDr,Q205_1,48.0,2_40_S,
R_7D5CyBlRpKaBWlr,Q205_1,47.0,2_40_S,
R_3FSbLaIbYu79r78,Q205_1,1.0,2_40_S,
R_3TiyiRowq9eTX8J,Q205_1,22.0,2_40_S,
R_5e50bw1UZocht0y,Q205_1,-39.0,2_40_S,
R_3G3Y6hfZSzdgBIk,Q205_1,9.0,2_40_S,
R_5HSUjAwXWAqyfxD,Q205_1,-37.0,2_40_S,
R_53uQeWN39gLkXLP,Q205_1,-100.0,2_40_S,
R_1FQflkMldupaWLW,Q205_1,-8.0,2_40_S,
R_6ZNxkJ8czyVt7E1,Q205_1,-20.0,2_40_S,
R_322x31PwAj0M5GN,Q205_1,8.0,2_40_S,
R_7wp3WmD3UFSKp9M,Q205_1,-39.0,2_40_S,
R_62Rs0EUUEsYnwXI,Q205_1,-71.0,2_40_S,
R_1TxCWzBLCRYWFYl,Q205_1,-10.0,2_40_S,
R_7CeVJiseeSsgCh6,Q205_1,41.0,2_40_S,
R_7rwXPXtG1YFPvVJ,Q205_1,48.0,2_40_S,
R_7TuVgZfkHx9dFMD,Q205_1,-27.0,2_40_S,
R_3np9puN9JlT7IH3,Q205_1,29.0,2_40_S,
R_36lHnpb15HnFYdh,Q205_1,47.0,2_40_S,
R_3nj2UiAJ34Y31tv,Q205_1,57.0,2_40_S,
R_7ajSdUpZgksrXjz,Q205_1,42.0,2_40_S,
R_1cnhbMhuECa9fX5,Q205_1,7.0,2_40_S,
R_7Lu4QIq3X8HK6A4,Q205_1,52.0,2_40_S,
R_7UgTFkj1C6rNo5k,Q205_1,9.0,2_40_S,
R_1urpkmCQGSL8bZA,Q205_1,58.0,2_40_S,
R_7qW0qJgzLWxGmIp,Q205_1,0.0,2_40_S,
R_54vZUwQFpC5yYnU,Q205_1,48.0,2_40_S,
R_3dcu8kRTkXoyoip,Q205_1,89.0,2_40_S,
R_11hm6t4X5BgCJer,Q205_1,33.0,2_40_S,
R_1466hO0Z03hgUhq,Q205_1,88.0,2_40_S,
R_3SlsEB84RFtsYaB,Q205_1,-34.0,2_40_S,
R_7TYziOVIPnw7Tt7,Q205_1,16.0,2_40_S,
R_6iWFCZUKCEOuDpj,Q205_1,23.0,2_40_S,
R_3QgBlGFmAXQOOYo,Q205_1,52.0,2_40_S,
R_5exvTvnYGQxYHmk,Q205_1,48.0,2_40_S,
R_6qiVb9WslcV95D3,Q205_1,-59.0,2_40_S,
R_3CkdS2pAdeypu10,Q205_1,50.0,2_40_S,
R_1CCTScrn2uMkLvQ,Q205_1,-46.0,2_40_S,
R_3lzeKfKWfV13bsI,Q205_1,20.0,2_40_S,
R_7q3oA2eiv1mVVXV,Q205_1,19.0,2_40_S,
R_3VvBfjYi2GDlIIN,Q205_1,43.0,2_40_S,
R_6QopCGKzit4HLkS,Q205_1,0.0,2_40_S,
R_3ZUuSnuIJLb5zgZ,Q205_1,24.0,2_40_S,
R_72zc1kJ2g5kjTOH,Q205_1,16.0,2_40_S,
R_73llbEZEiEOM6dM,Q205_1,2.0,2_40_S,
R_5xIPzVntMqAeUQ9,Q205_1,6.0,2_40_S,
R_5GePeLf7FEDRdre,Q205_1,61.0,2_40_S,
R_6lIRnXl5iQUgYpj,Q205_1,30.0,2_40_S,
R_3jpqjgXjaRUGHCx,Q205_1,15.0,2_40_S,
R_7EF8PNVXUB7CZPz,Q205_1,53.0,2_40_S,
R_5RjPUCAz9Tjz4Co,Q205_1,74.0,2_40_S,
R_1NERt9E2i9XZDVC,Q205_1,59.0,2_40_S,
R_1rrqhIVOa2CidYB,Q205_1,7.0,2_40_S,
R_17sqFUGKskSfCfu,Q205_1,28.0,2_40_S,
R_1JOYHQs6EmxyUbv,Q205_1,-17.0,2_40_S,
R_5COrRguDcQhsanw,Q205_1,45.0,2_40_S,
R_5nyjrWnBQAAly1P,Q205_1,-13.0,2_40_S,
R_3N2GrWz9K9xZojW,Q205_1,-8.0,2_40_S,
R_5dW9uuSSmK2iAff,Q205_1,-12.0,2_40_S,
R_6UW0Lrs0Xg0m5PN,Q205_1,-12.0,2_40_S,
R_3egcrtAzyscZ7O6,Q205_1,10.0,2_40_S,
R_3tFLQZzQgMqNqW5,Q205_1,-17.0,2_40_S,
R_3uGD1JnZB7R76et,Q205_1,11.0,2_40_S,
R_5SJNGWdGzdz1Fdp,Q205_1,21.0,2_40_S,
R_1lLczv84whbk80U,Q205_1,-40.0,2_40_S,
R_7GVaCAP5l7A7DJD,Q205_1,82.0,2_40_S,
R_1Id5qj62HUwiyBm,Q205_1,5.0,2_40_S,
R_1zfiymtsGq0Wgsp,Q205_1,57.0,2_40_S,
R_1dsJS0UUWqDvId3,Q205_1,46.0,2_40_S,
R_5hQ2E2VT84LrZSf,Q205_1,-25.0,2_40_S,
R_5QFSUrEAbuWXQZ3,Q205_1,6.0,2_40_S,
R_3EgstgVxibvqfeh,Q205_1,39.0,2_40_S,
R_6gz8jeGkaIWjWUh,Q205_1,47.0,2_40_S,
R_6efcBElj6FCvBmV,Q209_1,18.0,3_15_O,
R_75rcpr2IJ8FQlt7,Q209_1,77.0,3_15_O,
R_6ONTIhMg73HcsJO,Q209_1,30.0,3_15_O,
R_7PLFHJcP1sCHknL,Q209_1,58.0,3_15_O,
R_5QgKsFptfykYF2a,Q209_1,44.0,3_15_O,
R_3rBtmvEFGlA2euY,Q209_1,21.0,3_15_O,
R_7YYzxAhoTh0JzDz,Q209_1,-17.0,3_15_O,
R_5el6gvrcCYCt9gm,Q209_1,35.0,3_15_O,
R_6CPHrtuj7SP8UUC,Q209_1,85.0,3_15_O,
R_5BQMO4HCVitDKDr,Q209_1,53.0,3_15_O,
R_7D5CyBlRpKaBWlr,Q209_1,46.0,3_15_O,
R_3FSbLaIbYu79r78,Q209_1,6.0,3_15_O,
R_3TiyiRowq9eTX8J,Q209_1,23.0,3_15_O,
R_6anxUAYCOl9WRmc,Q209_1,10.0,3_15_O,
R_5e50bw1UZocht0y,Q209_1,100.0,3_15_O,
R_3G3Y6hfZSzdgBIk,Q209_1,36.0,3_15_O,
R_5HSUjAwXWAqyfxD,Q209_1,53.0,3_15_O,
R_53uQeWN39gLkXLP,Q209_1,30.0,3_15_O,
R_3mqn53rHOjfcngB,Q209_1,33.0,3_15_O,
R_1FQflkMldupaWLW,Q209_1,75.0,3_15_O,
R_6ZNxkJ8czyVt7E1,Q209_1,70.0,3_15_O,
R_322x31PwAj0M5GN,Q209_1,30.0,3_15_O,
R_7wp3WmD3UFSKp9M,Q209_1,45.0,3_15_O,
R_1TxCWzBLCRYWFYl,Q209_1,75.0,3_15_O,
R_7TuVgZfkHx9dFMD,Q209_1,26.0,3_15_O,
R_3np9puN9JlT7IH3,Q209_1,25.0,3_15_O,
R_3nj2UiAJ34Y31tv,Q209_1,21.0,3_15_O,
R_71gVwQQYAqAD4GH,Q209_1,52.0,3_15_O,
R_7ajSdUpZgksrXjz,Q209_1,58.0,3_15_O,
R_1cnhbMhuECa9fX5,Q209_1,42.0,3_15_O,
R_7Lu4QIq3X8HK6A4,Q209_1,40.0,3_15_O,
R_57mv6qMHJatnktk,Q209_1,78.0,3_15_O,
R_7UgTFkj1C6rNo5k,Q209_1,13.0,3_15_O,
R_7qW0qJgzLWxGmIp,Q209_1,29.0,3_15_O,
R_54vZUwQFpC5yYnU,Q209_1,-12.0,3_15_O,
R_6pU0piaLpro8dYR,Q209_1,12.0,3_15_O,
R_3dcu8kRTkXoyoip,Q209_1,-29.0,3_15_O,
R_11hm6t4X5BgCJer,Q209_1,72.0,3_15_O,
R_1466hO0Z03hgUhq,Q209_1,85.0,3_15_O,
R_3SlsEB84RFtsYaB,Q209_1,36.0,3_15_O,
R_7TYziOVIPnw7Tt7,Q209_1,-3.0,3_15_O,
R_3QgBlGFmAXQOOYo,Q209_1,48.0,3_15_O,
R_5exvTvnYGQxYHmk,Q209_1,20.0,3_15_O,
R_6qiVb9WslcV95D3,Q209_1,29.0,3_15_O,
R_3CkdS2pAdeypu10,Q209_1,80.0,3_15_O,
R_1CCTScrn2uMkLvQ,Q209_1,34.0,3_15_O,
R_3lzeKfKWfV13bsI,Q209_1,33.0,3_15_O,
R_7q3oA2eiv1mVVXV,Q209_1,10.0,3_15_O,
R_3VvBfjYi2GDlIIN,Q209_1,-20.0,3_15_O,
R_6QopCGKzit4HLkS,Q209_1,0.0,3_15_O,
R_3ZUuSnuIJLb5zgZ,Q209_1,-21.0,3_15_O,
R_72zc1kJ2g5kjTOH,Q209_1,40.0,3_15_O,
R_73llbEZEiEOM6dM,Q209_1,7.0,3_15_O,
R_5xIPzVntMqAeUQ9,Q209_1,21.0,3_15_O,
R_5GePeLf7FEDRdre,Q209_1,26.0,3_15_O,
R_6lIRnXl5iQUgYpj,Q209_1,22.0,3_15_O,
R_3jpqjgXjaRUGHCx,Q209_1,72.0,3_15_O,
R_5By4YMKhNg17YVn,Q209_1,11.0,3_15_O,
R_5ib6q2Swb0efZFF,Q209_1,64.0,3_15_O,
R_1NERt9E2i9XZDVC,Q209_1,17.0,3_15_O,
R_1rrqhIVOa2CidYB,Q209_1,-16.0,3_15_O,
R_17sqFUGKskSfCfu,Q209_1,54.0,3_15_O,
R_1JOYHQs6EmxyUbv,Q209_1,69.0,3_15_O,
R_5COrRguDcQhsanw,Q209_1,77.0,3_15_O,
R_5nyjrWnBQAAly1P,Q209_1,8.0,3_15_O,
R_3N2GrWz9K9xZojW,Q209_1,10.0,3_15_O,
R_1cTk4JpFTveIkoz,Q209_1,29.0,3_15_O,
R_6UW0Lrs0Xg0m5PN,Q209_1,95.0,3_15_O,
R_3egcrtAzyscZ7O6,Q209_1,20.0,3_15_O,
R_1DP2enDFn5QykNB,Q209_1,34.0,3_15_O,
R_3tFLQZzQgMqNqW5,Q209_1,23.0,3_15_O,
R_3uGD1JnZB7R76et,Q209_1,51.0,3_15_O,
R_1lLczv84whbk80U,Q209_1,31.0,3_15_O,
R_7GVaCAP5l7A7DJD,Q209_1,64.0,3_15_O,
R_1Id5qj62HUwiyBm,Q209_1,35.0,3_15_O,
R_1zfiymtsGq0Wgsp,Q209_1,72.0,3_15_O,
R_1dsJS0UUWqDvId3,Q209_1,77.0,3_15_O,
R_5hQ2E2VT84LrZSf,Q209_1,18.0,3_15_O,
R_39bn3d5gFOxzYMr,Q209_1,-74.0,3_15_O,
R_5QFSUrEAbuWXQZ3,Q209_1,18.0,3_15_O,
R_342jRMCUa8BrKAF,Q209_1,67.0,3_15_O,
R_3EgstgVxibvqfeh,Q209_1,12.0,3_15_O,
R_6gz8jeGkaIWjWUh,Q209_1,100.0,3_15_O,
R_5KURmxv0WlJEAPn,Q209_1,14.0,3_15_O,
R_6efcBElj6FCvBmV,Q221_1,52.0,3_16_S,
R_75rcpr2IJ8FQlt7,Q221_1,-5.0,3_16_S,
R_6ONTIhMg73HcsJO,Q221_1,11.0,3_16_S,
R_7PLFHJcP1sCHknL,Q221_1,-18.0,3_16_S,
R_5QgKsFptfykYF2a,Q221_1,61.0,3_16_S,
R_3rBtmvEFGlA2euY,Q221_1,29.0,3_16_S,
R_7YYzxAhoTh0JzDz,Q221_1,26.0,3_16_S,
R_5el6gvrcCYCt9gm,Q221_1,64.0,3_16_S,
R_1cS00YwPv0qYkwf,Q221_1,4.0,3_16_S,
R_6CPHrtuj7SP8UUC,Q221_1,-82.0,3_16_S,
R_5BQMO4HCVitDKDr,Q221_1,26.0,3_16_S,
R_7D5CyBlRpKaBWlr,Q221_1,83.0,3_16_S,
R_3FSbLaIbYu79r78,Q221_1,1.0,3_16_S,
R_3TiyiRowq9eTX8J,Q221_1,9.0,3_16_S,
R_6anxUAYCOl9WRmc,Q221_1,18.0,3_16_S,
R_5e50bw1UZocht0y,Q221_1,71.0,3_16_S,
R_3G3Y6hfZSzdgBIk,Q221_1,-67.0,3_16_S,
R_53uQeWN39gLkXLP,Q221_1,22.0,3_16_S,
R_3mqn53rHOjfcngB,Q221_1,-57.0,3_16_S,
R_1FQflkMldupaWLW,Q221_1,-22.0,3_16_S,
R_6ZNxkJ8czyVt7E1,Q221_1,16.0,3_16_S,
R_322x31PwAj0M5GN,Q221_1,-13.0,3_16_S,
R_7wp3WmD3UFSKp9M,Q221_1,-10.0,3_16_S,
R_1TxCWzBLCRYWFYl,Q221_1,24.0,3_16_S,
R_7CeVJiseeSsgCh6,Q221_1,5.0,3_16_S,
R_7rwXPXtG1YFPvVJ,Q221_1,-22.0,3_16_S,
R_7TuVgZfkHx9dFMD,Q221_1,-60.0,3_16_S,
R_3np9puN9JlT7IH3,Q221_1,17.0,3_16_S,
R_36lHnpb15HnFYdh,Q221_1,12.0,3_16_S,
R_3nj2UiAJ34Y31tv,Q221_1,-88.0,3_16_S,
R_7ajSdUpZgksrXjz,Q221_1,5.0,3_16_S,
R_1cnhbMhuECa9fX5,Q221_1,41.0,3_16_S,
R_7Lu4QIq3X8HK6A4,Q221_1,50.0,3_16_S,
R_57mv6qMHJatnktk,Q221_1,40.0,3_16_S,
R_7UgTFkj1C6rNo5k,Q221_1,20.0,3_16_S,
R_1urpkmCQGSL8bZA,Q221_1,46.0,3_16_S,
R_54vZUwQFpC5yYnU,Q221_1,43.0,3_16_S,
R_5sShiW4FtJ2iJft,Q221_1,-90.0,3_16_S,
R_5SB0CzqiyIP9IKk,Q221_1,0.0,3_16_S,
R_6pU0piaLpro8dYR,Q221_1,11.0,3_16_S,
R_3dcu8kRTkXoyoip,Q221_1,-19.0,3_16_S,
R_11hm6t4X5BgCJer,Q221_1,2.0,3_16_S,
R_3SlsEB84RFtsYaB,Q221_1,-23.0,3_16_S,
R_7TYziOVIPnw7Tt7,Q221_1,-11.0,3_16_S,
R_3QgBlGFmAXQOOYo,Q221_1,58.0,3_16_S,
R_5exvTvnYGQxYHmk,Q221_1,24.0,3_16_S,
R_6qiVb9WslcV95D3,Q221_1,-36.0,3_16_S,
R_3CkdS2pAdeypu10,Q221_1,13.0,3_16_S,
R_7rHfkVNs7QHbLag,Q221_1,-22.0,3_16_S,
R_1CCTScrn2uMkLvQ,Q221_1,35.0,3_16_S,
R_3lzeKfKWfV13bsI,Q221_1,29.0,3_16_S,
R_7q3oA2eiv1mVVXV,Q221_1,27.0,3_16_S,
R_3VvBfjYi2GDlIIN,Q221_1,80.0,3_16_S,
